tolundefined/w0 6087ms            | tol0.00013635384781205697/w0 5790ms| tol0.00004090615434361709/w0 6982ms| tol0.000013635384781205697/w0 8216ms
178   -2.93 -2.404    144   9         |   -2.58 -2.465    683  88         |  -20.00 -2.540*  1006 200         |   -7.71 -2.595   3031 200         
179   -2.67 -2.422    400  70         |  -20.00 -2.466*   444  86         |  -17.70 -2.568   1366 200         |   -7.86 -2.595   3039 200         
180   -2.43 -2.440    443  77         |   -4.57 -2.455    395  95         |   -1.81 -2.540    714 198         |   -7.94 -2.595   3200 200         
181   -3.31 -2.421    229  22         |   -3.91 -2.470    645  99         |  -20.00 -2.546*  1218 177         |   -8.19 -2.594   3200 200         
182   -4.35 -2.470    701  89         |   -5.11 -2.444    295  19         |   -2.08 -2.540   1078 174         |   -8.45 -2.593   3200 200         
183  -20.00 -2.450*   305  79         |   -3.69 -2.469    696  95         |   -3.33 -2.540   1097 173         |   -8.69 -2.593   3200 200         
184   -4.21 -2.459    533  95         |   -5.01 -2.439    289  19         |  -20.00 -2.546*  1268 171         |   -8.92 -2.592   3200 200         
185   -3.73 -2.476    643  99         |   -3.95 -2.459    667  89         |  -20.00 -2.546*  1232 178         |   -9.15 -2.591   3200 200         
186   -4.74 -2.448    290  19         |   -3.98 -2.467    614  91         |   -1.79 -2.543   1225 177         |   -9.36 -2.591   3200 200         
187   -3.75 -2.476    700  94         |   -4.36 -2.471    606  89         |   -3.21 -2.540   1222 176         |   -9.56 -2.590   3200 200         
188   -4.89 -2.443    285  19         |  -20.00 -2.455*   456  80         |   -1.82 -2.542   1372 177         |   -9.76 -2.590   3200 200         
189   -4.02 -2.466    667  88         |   -5.80 -2.432    408  87         |   -1.80 -2.542   1389 177         |   -9.94 -2.589   3200 200         
190   -4.32 -2.472    609  90         |   -4.94 -2.431    577  84         |  -20.00 -2.546*  1381 178         |  -10.11 -2.589   3200 200         
191  -20.00 -2.459*   463  82         |   -4.46 -2.439    632  84         |   -1.84 -2.540   1377 177         |  -10.27 -2.588   3200 200         
192   -5.38 -2.436    413  89         |   -4.44 -2.439    563  79         |  -20.00 -2.549*  1520 178         |  -10.41 -2.588   3200 200         
193   -4.80 -2.436    587  86         |   -4.31 -2.445    605  78         |  -20.00 -2.548*  1390 181         |  -10.54 -2.587   3200 200         
194   -4.50 -2.437    580  84         |  -20.00 -2.439*   531  74         |   -1.61 -2.540   1374 182         |  -10.66 -2.587   3200 200         
195   -4.48 -2.438    568  81         |  -20.00 -2.416*   419  76         |   -1.47 -2.543   1519 182         |  -10.77 -2.587   3200 200         
196   -4.29 -2.446    618  81         |   -5.70 -2.403    473  74         |   -1.48 -2.541   1531 181         |  -10.86 -2.586   3200 200         
197   -4.72 -2.450    606  79         |   -4.98 -2.405    562  71         |   -1.38 -2.540   1529 180         |  -10.93 -2.586   3200 200         
198  -20.00 -2.436*   466  72         |   -4.91 -2.408    556  69         |   -1.64 -2.540   1529 180         |  -10.99 -2.586   3200 200         
199  -20.00 -2.410*   425  77         |   -5.08 -2.400    509  69         |   -2.01 -2.540   1520 178         |  -11.03 -2.586   3200 200         
200   -5.28 -2.406    523  74         |   -5.02 -2.403    530  64         |   -2.38 -2.540   1525 177         |  -11.06 -2.586   3200 200         
201   -4.89 -2.409    566  71         |  -20.00 -2.408*   572  67         |   -2.38 -2.540   1528 177         |  -11.07 -2.586   3200 200         
